ID_1,attn_dict_common
89,"{'mediation': [0.19508348399999997, 0.145472348, 0.345316797], 'sri': [0.008544303, 0.00673018, 0.015016018], 'court': [0.052303605, 0.03805406, 0.212323099], 'justice': [0.080213457, 0.19267015199999998, 0.999994397]}"
90,"{'varanasi': [0.386689723, 0.217637241, 0.421962589]}"
91,"{'metro': [0.37891650200000004, 0.6628491879999999, 0.999261677]}"
92,"{'teacher': [0.100883946, 0.038267035, 0.15924307699999998], 'reservation': [0.234120429, 0.082892612, 0.319221556], 'ordinance': [0.579413176, 0.44763976299999997, 0.71261704], 'educational': [0.3579638, 0.29066681899999997, 0.217786223], 'institution': [0.11293339, 0.15746147900000002, 0.236456573]}"
93,"{'coin': [0.171967089, 0.141252235, 0.090835206], 'visually': [0.007331054, 0.036913699999999994, 0.027089863999999998], 'impaired': [0.016178414, 0.29076317, 0.12474680699999999], 'series': [0.022388011, 0.0, 0.0], 'new': [0.9919529559999999, 0.992958069, 0.988343596], 'denomination': [0.089341559, 0.431119263, 0.255506694], 'circulation': [0.0, 0.206892729, 0.074069835], 'weight': [0.047366291, 0.044915184000000004, 0.08191828400000001]}"
94,"{'f16': [0.07260810599999999, 0.018287408999999998, 0.171754748], 'pakistan': [0.36153692, 0.083770394, 0.37265291799999994], 'fighter': [0.288199991, 0.049608883, 0.601394713]}"
95,"{'ayodhya': [0.351202339, 0.17015537600000002, 0.911328852], 'land': [0.302066177, 0.259140253, 0.0], 'mediation': [0.07162728900000001, 0.7169926759999999, 0.862093806], 'court': [0.364665955, 0.048061963, 0.04124609]}"
96,"{'mela': [0.20619376, 0.38319078100000004, 0.103936195], 'kumbh': [0.100823946, 0.152391627, 0.134392396]}"
98,"{'pulwama': [0.164264426, 0.266243368, 0.12306609], 'attack': [0.092534669, 0.075951196, 0.238646582]}"
99,"{'terrorist': [0.443953365, 0.129918218, 0.36726617799999994], 'tral': [0.6883799429999999, 0.148825124, 0.396884918], 'encounter': [0.147138372, 0.319147915, 0.44648394], 'killed': [0.036289922999999995, 0.333542705, 0.125831991], 'jammu': [0.05113093900000001, 0.146093309, 0.198099047], 'kashmir': [0.119708724, 0.119239248, 0.34167397]}"
